LConfiguration,LTerm,LTerm (atlas),LJ,LLevel,UConfiguration,UTerm,UTerm (atlas),UJ,ULevel,Wavelength,log gf (DREAM),gf (DREAM),gf (atlas),A DREAM,A atlas,CF,Disagreement
4f13.(2F*).6s2,2F*,,3.5,21418.75,4f13.(2F*<5/2>).5d.6p.(1P*<1>),"(5/2,1)",,2.5,89713.17,1464.248,-2.77,0.002,,0.90,,0.002,
4f14.6s,2S,,0.5,0.00,4f13.(2F*<5/2>).5d2.(3P),3[3/2]*,,1.5,67789.60,1475.153,-3.78,0.000,,0.13,,0.100,
4f13.(2F*).6s2,2F*,,3.5,21418.75,,,,3.5,88297.00,1495.263,-2.71,0.002,,0.73,,0.002,
4f14.6s,2S,2S,0.5,0.00,4f13.(2F*<5/2>).5d2.(1D),1[3/2]*,2F2.5 1D1.5,1.5,66189.00,1510.825,-2.08,0.008,0.046,6.13,6.873,0.166,-0.050
4f14.6s,2S,2S,0.5,0.00,4f14.7p,2P*,2F2.5 1G1.5,1.5,65594.10,1524.527,-1.98,0.010,0.023,7.55,3.375,0.137,0.350
4f14.6s,2S,2S,0.5,0.00,4f13.(2F*<5/2>).5d2.(1D),1[1/2]*,2F2.5 1D0.5,0.5,65149.31,1534.936,-2.17,0.007,0.021,9.75,6.08,0.235,0.205
4f14.6s,2S,2S,0.5,0.00,4f13.(2F*<5/2>).5d2.(1G),1[3/2]*,2P,1.5,64191.97,1557.827,-2.71,0.002,0.030,1.34,4.216,0.024,-0.499
4f14.6s,2S,2S,0.5,0.00,4f14.7p,2P*,2P,0.5,63706.25,1569.705,-2.28,0.005,0.030,7.20,8.305,0.194,-0.062
4f13.(2F*).6s2,2F*,,3.5,21418.75,,,,4.5,83871.00,1601.223,-2.30,0.005,,1.31,,0.077,
4f13.(2F*).6s2,2F*,,3.5,21418.75,4f13.(2F*<5/2>).5d.6p.(1F*<3>),"(5/2,3)",,2.5,82891.80,1626.729,-1.34,0.046,,19.33,,0.103,
4f14.6p,2P*,,0.5,27061.82,,,,1.5,88101.00,1638.293,-3.50,0.000,,0.19,,0.001,
4f14.6s,2S,,0.5,0.00,4f13.(2F*<5/2>).5d2.(3F),*,,1.5,60910.14,1641.763,-3.43,0.000,,0.23,,0.012,
4f13.(2F*).6s2,2F*,2F3.5 1S3.5,3.5,21418.75,4f13.(2F*<5/2>).5d.6p.(3P*<2>),"(5/2,2)",2F2.5 3P2.0,3.5,81692.92,1659.085,-1.08,0.083,0.125,25.38,30.975,0.096,-0.087
4f13.(2F*).6s2,2F*,,3.5,21418.75,4f13.(2F*<5/2>).5d.6p.(3P*<0>),,,2.5,81657.13,1660.071,-1.08,0.083,,33.83,,0.174,
4f13.(2F*).6s2,2F*,2F3.5 1S3.5,3.5,21418.75,4f13.(2F*<5/2>).5d.6p.(3P*<2>),"(5/2,2)",2F2.5 3P2.0,2.5,81312.65,1669.619,-1.08,0.083,0.016,33.17,5.22,0.169,0.803
4f13.(2F*).6s2,2F*,,3.5,21418.75,4f13.(2F*<5/2>).5d.6p.(3P*<2>),"(5/2,2)",,4.5,81205.27,1672.618,-2.64,0.002,,0.55,,0.007,
4f14.6s,2S,,0.5,0.00,4f13.(2F*<5/2>).5d2.(3F),3[1/2]*,,1.5,59777.07,1672.882,-3.71,0.000,,0.12,,0.052,
4f13.(2F*<7/2>).5d.6s.(3D),3[3/2]*,,1.5,28757.98,,,,1.5,88101.00,1685.120,-2.94,0.001,,0.66,,0.002,
4f13.(2F*).6s2,2F*,2F3.5 1S3.5,3.5,21418.75,4f13.(2F*<5/2>).5d.6p.(3P*<1>),,2F2.5 3P1.0,3.5,80457.71,1693.797,-1.56,0.028,0.011,8.06,2.615,0.170,0.489
4f14.6s,2S,,0.5,0.00,4f13.(2F*<5/2>).5d2.(3F),3[3/2]*,,0.5,58672.53,1704.375,-2.89,0.001,,1.50,,0.032,
4f13.(2F*).6s2,2F*,2F3.5 1S3.5,3.5,21418.75,4f13.(2F*<7/2>).5d.6p.(1P*<1>),"(7/2,1)",2F3.5 1P1.0,3.5,79628.71,1717.919,0.15,1.413,2.720,400.00,628.647,0.269,-0.196
4f13.(2F*).6s2,2F*,,3.5,21418.75,4f13.(2F*<5/2>).5d.6p.(3P*<0>),,,2.5,79583.11,1719.266,-3.24,0.001,,0.22,,0.010,
4f14.6s,2S,,0.5,0.00,4f13.(2F*<7/2>).5d2.(3P),3[5/2]*,,1.5,58162.75,1719.313,-2.82,0.002,,0.86,,0.118,
